方向,代码,名称,订单价格,订单数量,订单金额,交易状态,已成交@均价,下单时间,订单类型,期限,盘前竞价,时段,触发价,允许开仓,市场,币种,订单来源,成交数量,成交价格,成交金额,成交时间,市场.1,币种.1,对手经纪,备注,佣金,平台使用费,交收费,印花税,交易费,证监会征费,财汇局征费,期权监管费,期权清算费,期权交收费,证监会规费,交易活动费,交易系统使用费,综合审计跟踪监管费,合计费用
,,,,,,,,,,,,,,,,,,2,0.72,1.44,2025/03/10 10:47:13 (美东),美股,USD,,,,,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,,,,,,1,0.69,0.69,2025/03/10 10:47:13 (美东),美股,USD,,,,,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,,,,,,1,0.71,0.71,2025/03/10 10:47:13 (美东),美股,USD,,,,,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,,,,,,1,0.72,0.72,2025/03/10 10:47:13 (美东),美股,USD,,,,,,,,,,,,,,,,,0.0
买入,SGOV,0-3月美国国债ETF-iShares,96.69,68,6574.92,全部成交,62@109.87,2025/03/10 09:05:00 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,67,93.82,6285.94,2025/03/10 09:05:00 (美东),美股,USD,,,1.07,0.97,0.18,,,,,,,,,,,,2.22
卖出,MIU250328P52500,小米 250328 52.50 沽,3.11,2,6.22,全部成交,2@3.01,2025/03/10 11:30:37 (香港),限价单,当日有效,,,,,港股,HKD,,2,2.85,5.7,2025/03/10 11:30:37 (香港),港股,HKD,,,11.41,15.43,,,,,,,,,,,2.09,,28.93
卖出,MIU250328P52500,小米 250328 52.50 沽,2.46,2,4.92,全部成交,2@2.67,2025/03/07 15:35:15 (香港),限价单,当日有效,,,,,港股,HKD,,2,2.8,5.6,2025/03/07 15:35:17 (香港),港股,HKD,,,11.09,16.39,,,,,,,,,,,2.15,,29.63
买入,MIU250328P52500,小米 250328 52.50 沽,2.35,4,9.4,全部成交,4@2.34,2025/03/07 14:01:34 (香港),限价单,当日有效,,,,,港股,HKD,,4,2.39,9.56,2025/03/07 14:01:48 (香港),港股,HKD,,,22.25,13.88,,,,,,,,,,,4.11,,40.24
买入,09988,阿里巴巴-W,151.84,97,14728.48,全部成交,104@145.73,2025/03/07 10:56:18 (香港),限价单,当日有效,允许,,,,港股,HKD,,96,131.1,12585.6,2025/03/07 10:56:19 (香港),港股,HKD,,,4.12,14.18,2.02,12.79,0.82,0.37,0.02,,,,,,,,34.32
卖出,MSTU,2倍做多MSTR ETF-T-Rex,6.32,756,4777.92,全部成交,738@6.37,2025/03/06 21:46:43 (美东),限价单,当日有效,,夜盘,,,美股,USD,,632,6.96,4398.72,2025/03/06 21:46:54 (美东),美股,USD,,,3.52,3.47,2.15,,,,,,,,0.13,0.11,,,9.38
卖出,MSTU,2倍做多MSTR ETF-T-Rex,7.25,276,2001.0,全部成交,318@7.54,2025/03/06 10:44:13 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,290,7.48,2169.2,2025/03/06 10:44:13 (美东),美股,USD,,,1.5,1.38,0.87,,,,,,,,0.06,0.05,,,3.86
买入,MSTU,2倍做多MSTR ETF-T-Rex,6.74,468,3154.32,全部成交,491@6.21,2025/03/06 09:35:42 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,244,6.97,1700.68,2025/03/06 09:35:42 (美东),美股,USD,,,2.27,2.53,1.65,,,,,,,,,,,,6.45
,,,,,,,,,,,,,,,,,,269,6.15,1654.35,2025/03/06 09:35:42 (美东),美股,USD,,,,,,,,,,,,,,,,,0.0
买入,NVDL,2倍做多NVDA ETF-GraniteShares,39.12,23,899.76,全部成交,24@42.9,2025/03/06 05:08:26 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,27,39.06,1054.62,2025/03/06 05:08:41 (美东),美股,USD,,,1.01,0.96,0.08,,,,,,,,,,,,2.05
买入,MSTU,2倍做多MSTR ETF-T-Rex,6.3,536,3376.8,全部成交,539@6.42,2025/03/05 10:07:04 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,506,5.69,2879.14,2025/03/05 10:07:05 (美东),美股,USD,,,2.69,2.69,1.58,,,,,,,,,,,,6.96
买入,PLTR,Palantir,87.87,9,790.83,全部成交,9@91.48,2025/03/05 10:06:44 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,10,91.26,912.6,2025/03/05 10:06:44 (美东),美股,USD,,,1.01,0.96,0.03,,,,,,,,,,,,2.0
买入,NVDL,2倍做多NVDA ETF-GraniteShares,44.24,50,2212.0,全部成交,48@44.45,2025/03/05 02:16:32 (美东),限价单,当日有效,,夜盘,,,美股,USD,,51,43.91,2239.41,2025/03/05 02:16:34 (美东),美股,USD,,,1.04,0.99,0.15,,,,,,,,,,,,2.18
卖出,TSLL,2倍做多TSLA ETF-Direxion,市价,146,,全部成交,137@10.9,2025/03/04 10:01:32 (美东),市价单,当日有效,,盘中,,,美股,USD,,141,11.91,1679.31,2025/03/04 10:01:32 (美东),美股,USD,,,1.08,1.1,0.38,,,,,,,,0.04,0.02,,,2.62
卖出,TSLA,特斯拉,市价,45,,全部成交,43@287.65,2025/03/04 10:01:17 (美东),市价单,当日有效,,盘中,,,美股,USD,,41,260.89,10696.49,2025/03/04 10:01:18 (美东),美股,USD,,,0.96,0.92,0.14,,,,,,,,0.35,0.01,,,2.38
买入,TSM250417C220000,TSM 250417 220.00C,1.26,1,1.26,全部成交,1@1.35,2025/03/03 12:24:01 (美东),限价单,当日有效,,盘中,,,美股,USD,,1,1.32,1.32,2025/03/03 12:24:01 (美东),美股,USD,,,1.89,0.32,,,,,,0.01,0.02,0.18,,,,,2.42
卖出,TSLA250417C320000,TSLA 250417 320.00C,17.19,1,17.19,全部成交,1@19.89,2025/03/03 11:49:08 (美东),限价单,当日有效,,盘中,,,美股,USD,,1,19.17,19.17,2025/03/03 11:49:09 (美东),美股,USD,,,2.02,0.3,,,,,,0.01,0.02,0.17,0.05,0.01,,,2.58
买入,TSLA250417C320000,TSLA 250417 320.00C,17.02,1,17.02,全部成交,1@15.91,2025/03/03 10:00:15 (美东),限价单,当日有效,,盘中,,,美股,USD,,1,17.39,17.39,2025/03/03 10:00:15 (美东),美股,USD,,,1.98,0.29,,,,,,0.01,0.02,0.17,,,,,2.47
买入,TSM,台积电,市价,15,,全部成交,15@169.63,2025/02/28 10:35:20 (美东),市价单,当日有效,,盘中,,,美股,USD,,16,169.62,2713.92,2025/02/28 10:35:20 (美东),美股,USD,,,0.91,1.09,0.05,,,,,,,,,,,,2.05
买入,TSM,台积电,市价,15,,全部成交,14@186.35,2025/02/28 10:35:14 (美东),市价单,当日有效,,盘中,,,美股,USD,,14,174.27,2439.78,2025/02/28 10:35:15 (美东),美股,USD,,,0.96,1.1,0.05,,,,,,,,,,,,2.11
卖出,02097,蜜雪集团,237.6,91,21621.6,全部成交,109@257.3,2025/02/28 16:57:46 (香港),富途暗盘,当日有效,,,,,港股,HKD,,108,245.45,26508.6,2025/02/28 17:10:19 (香港),港股,HKD,,,7.92,14.08,2.16,24.68,1.43,0.68,0.04,,,,,,,,50.99
卖出,02097,蜜雪集团,265.18,91,24131.38,下单失败,0@0.0,2025/02/28 16:57:37 (香港),富途暗盘,当日有效,,,,,港股,HKD,,,,,,,,,,,,,,,,,,,,,,,,0.0
买入,MIU250328P50000,小米 250328 50.00 沽,2.65,2,5.3,已撤单,0@0.0,2025/02/28 10:45:20 (香港),限价单,当日有效,,,,,港股,HKD,,,,,,,,,,,,,,,,,,,,,,,,0.0
卖出,MIU250328P50000,小米 250328 50.00 沽,2.8,2,5.6,全部成交,2@3.17,2025/02/28 09:55:23 (香港),限价单,当日有效,,,,,港股,HKD,,2,2.96,5.92,2025/02/28 09:55:49 (香港),港股,HKD,,,13.35,16.02,,,,,,,,,,,1.88,,31.25
买入,MIU250328P50000,小米 250328 50.00 沽,2.84,2,5.68,全部成交,2@3.04,2025/02/28 09:39:27 (香港),限价单,当日有效,,,,,港股,HKD,,2,2.82,5.64,2025/02/28 09:39:30 (香港),港股,HKD,,,12.0,14.17,,,,,,,,,,,2.12,,28.29
卖出,MIU250328P50000,小米 250328 50.00 沽,2.79,5,13.95,全部成交,5@2.41,2025/02/28 09:35:24 (香港),限价单,当日有效,,,,,港股,HKD,,5,2.68,13.4,2025/02/28 09:36:55 (香港),港股,HKD,,,26.57,13.55,,,,,,,,,,,5.33,,45.45
卖出,01810,小米集团-W,57.78,"1,000",,全部成交,"1,000@53.80",2025/02/27 14:09:10 (香港),限价单,当日有效,允许,,,,港股,HKD,,"1,000",53.56,,2025/02/27 14:09:10 (香港),港股,HKD,,,17.31,15.7,2.02,54.31,2.87,1.56,0.09,,,,,,,,93.86
买入,MIU250328P50000,小米 250328 50.00 沽,2.56,5,12.8,全部成交,5@2.71,2025/02/27 14:08:57 (香港),限价单,当日有效,,,,,港股,HKD,,5,2.59,12.95,2025/02/27 14:09:03 (香港),港股,HKD,,,26.75,14.56,,,,,,,,,,,4.68,,45.99
买入,01810,小米集团-W,市价,"1,000",,全部成交,"1,000@54.05",2025/02/27 14:07:02 (香港),市价单,当日有效,,,,,港股,HKD,,"1,000",49.73,,2025/02/27 14:07:02 (香港),港股,HKD,,,15.12,15.3,2.06,55.63,2.99,1.35,0.08,,,,,,,,92.53
卖出,01810,小米集团-W,市价,"2,200",,全部成交,"2,200@51.95",2025/02/27 13:11:52 (香港),市价单,当日有效,,,,,港股,HKD,,"2,200",47.39,,2025/02/27 13:11:52 (香港),港股,HKD,,,33.39,13.96,2.4,106.8,6.9,3.36,0.16,,,,,,,,166.97
买入,01810,小米集团-W,50.53,"2,200",,全部成交,"2,200@52.20",2025/02/27 11:40:58 (香港),限价单,当日有效,允许,,,,港股,HKD,,"2,200",54.83,,2025/02/27 11:41:03 (香港),港股,HKD,,,37.03,16.08,2.32,125.68,6.3,2.99,0.18,,,,,,,,190.58
卖出,01810,小米集团-W,市价,"2,600",,全部成交,"2,600@51.40",2025/02/27 11:34:59 (香港),市价单,当日有效,,,,,港股,HKD,,"2,600",46.33,,2025/02/27 11:34:59 (香港),港股,HKD,,,37.49,15.08,2.43,122.12,8.22,3.92,0.22,,,,,,,,189.48
买入,TSM250417C220000,TSM 250417 220.00C,4.4,1,4.4,全部成交,1@4.09,2025/02/24 11:28:47 (美东),限价单,当日有效,,盘中,,,美股,USD,,1,4.12,4.12,2025/02/24 11:28:47 (美东),美股,USD,,,2.16,0.32,,,,,,0.01,0.02,0.17,,,,,2.68
买入,TSLL,2倍做多TSLA ETF-Direxion,18.3,11,201.3,全部成交,10@17.38,2025/02/24 10:13:17 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,11,19.01,209.11,2025/02/24 10:13:18 (美东),美股,USD,,,1.07,0.97,0.03,,,,,,,,,,,,2.07
买入,TSLA,特斯拉,330.44,20,6608.8,全部成交,19@313.35,2025/02/24 07:32:56 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,20,306.57,6131.4,2025/02/24 07:32:56 (美东),美股,USD,,,0.95,0.95,0.06,,,,,,,,,,,,1.96
买入,TSLA,特斯拉,323.68,12,3884.16,全部成交,11@337.59,2025/02/21 13:15:03 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,13,336.7,4377.1,2025/02/21 14:34:43 (美东),美股,USD,,,0.95,1.09,0.04,,,,,,,,,,,,2.08
买入,TSM250417C220000,TSM 250417 220.00C,5.07,2,10.14,全部成交,2@5.11,2025/02/21 11:43:24 (美东),限价单,当日有效,,盘中,,,美股,USD,,2,4.87,9.74,2025/02/21 11:43:25 (美东),美股,USD,,,2.15,0.6,,,,,,0.02,0.04,0.35,,,,,3.16
卖出,TSLL,2倍做多TSLA ETF-Direxion,17.56,75,1317.0,全部成交,74@20.65,2025/02/21 10:47:39 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,6,19.47,116.82,2025/02/21 10:47:53 (美东),美股,USD,,,0.93,0.97,0.19,,,,,,,,0.05,0.03,,,2.17
,,,,,,,,,,,,,,,,,,7,20.94,146.58,2025/02/21 10:47:53 (美东),美股,USD,,,,,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,,,,,,54,20.08,1084.32,2025/02/21 10:47:53 (美东),美股,USD,,,,,,,,,,,,,,,,,0.0
卖出,CONL,2倍做多COIN ETF-GraniteShares,市价,121,,全部成交,111@32.52,2025/02/21 10:43:34 (美东),市价单,当日有效,,盘中,,,美股,USD,,98,37.47,3672.06,2025/02/21 10:43:34 (美东),美股,USD,,,0.98,0.92,0.37,,,,,,,,0.11,0.03,,,2.41
,,,,,,,,,,,,,,,,,,15,34.3,514.5,2025/02/21 10:43:34 (美东),美股,USD,,,,,,,,,,,,,,,,,0.0
买入,CONL,2倍做多COIN ETF-GraniteShares,37.0,82,3034.0,全部成交,84@39.47,2025/02/21 09:54:41 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,77,35.09,2701.93,2025/02/21 09:54:41 (美东),美股,USD,,,0.94,0.93,0.26,,,,,,,,,,,,2.13
买入,TSM250417C220000,TSM 250417 220.00C,5.39,2,10.78,全部成交,2@5.33,2025/02/21 09:49:46 (美东),限价单,当日有效,,盘中,,,美股,USD,,2,5.82,11.64,2025/02/21 09:49:54 (美东),美股,USD,,,2.03,0.62,,,,,,0.02,0.04,0.36,,,,,3.07
买入,CONL,2倍做多COIN ETF-GraniteShares,40.05,28,1121.4,全部成交,33@34.83,2025/02/21 08:20:45 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,32,36.86,1179.52,2025/02/21 08:20:46 (美东),美股,USD,,,1.09,1.02,0.09,,,,,,,,,,,,2.2
买入,CONL,2倍做多COIN ETF-GraniteShares,35.79,5,178.95,全部成交,5@38.01,2025/02/21 08:15:46 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,5,41.11,205.55,2025/02/21 08:15:46 (美东),美股,USD,,,1.05,1.07,0.02,,,,,,,,,,,,2.14
买入,TSLL,2倍做多TSLA ETF-Direxion,20.08,186,3734.88,全部成交,186@18.98,2025/02/20 10:16:10 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,108,21.74,2347.92,2025/02/20 10:16:11 (美东),美股,USD,,,1.08,1.05,0.56,,,,,,,,,,,,2.69
,,,,,,,,,,,,,,,,,,96,21.02,2017.92,2025/02/20 10:16:11 (美东),美股,USD,,,,,,,,,,,,,,,,,0.0
买入,TSLL,2倍做多TSLA ETF-Direxion,20.24,185,3744.4,已撤单,0@0.0,2025/02/20 10:15:06 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,,,,,,,,,,,,,,,,,,,,,,,0.0
买入,TQQQ,3倍做多纳指ETF-ProShares,83.34,18,1500.12,全部成交,19@92.32,2025/02/20 10:08:09 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,21,95.27,2000.67,2025/02/20 10:08:09 (美东),美股,USD,,,0.99,0.93,0.06,,,,,,,,,,,,1.98
卖出,TSM250417C220000,TSM 250417 220.00C,5.22,2,10.44,全部成交,2@5.06,2025/02/20 10:05:44 (美东),限价单,当日有效,,盘中,,,美股,USD,,2,5.47,10.94,2025/02/20 10:05:54 (美东),美股,USD,,,1.84,0.65,,,,,,0.02,0.04,0.38,0.03,0.01,,,2.97
卖出,TSLL,2倍做多TSLA ETF-Direxion,市价,196,,全部成交,166@20.41,2025/02/20 10:02:04 (美东),市价单,当日有效,,盘中,,,美股,USD,,194,18.84,3654.96,2025/02/20 10:02:04 (美东),美股,USD,,,1.01,1.02,0.56,,,,,,,,0.1,0.03,,,2.72
买入,TSM250417C220000,TSM 250417 220.00C,6.32,2,12.64,全部成交,2@5.6,2025/02/19 10:04:03 (美东),限价单,当日有效,,盘中,,,美股,USD,,2,5.51,11.02,2025/02/19 10:04:04 (美东),美股,USD,,,1.92,0.64,,,,,,0.02,0.04,0.38,,,,,3.0
卖出,TSM250417P220000,TSM 250417 220.00P,24.28,1,24.28,全部成交,1@23.42,2025/02/19 10:03:18 (美东),限价单,当日有效,,盘中,,,美股,USD,,1,23.84,23.84,2025/02/19 10:03:35 (美东),美股,USD,,,2.16,0.29,,,,,,0.01,0.02,0.18,0.07,0.01,,,2.74
买入,TSM250417P220000,TSM 250417 220.00P,22.2,1,22.2,全部成交,1@21.41,2025/02/18 10:11:35 (美东),限价单,当日有效,,盘中,,,美股,USD,,1,22.61,22.61,2025/02/18 10:11:35 (美东),美股,USD,,,1.85,0.33,,,,,,0.01,0.02,0.18,,,,,2.39
卖出,BIDU250919P70000,BIDU 250919 70.00P,3.28,1,3.28,全部成交,1@3.26,2025/02/18 09:47:27 (美东),限价单,当日有效,,盘中,,,美股,USD,,1,2.85,2.85,2025/02/18 09:51:30 (美东),美股,USD,,,1.97,0.33,,,,,,0.01,0.02,0.19,0.01,0.01,,,2.54
卖出,BIDU250404P87000,BIDU 250404 87.00P,3.83,3,11.49,全部成交,3@3.79,2025/02/18 09:43:38 (美东),限价单,当日有效,,盘中,,,美股,USD,,3,4.16,12.48,2025/02/18 09:45:04 (美东),美股,USD,,,2.17,0.86,,,,,,0.04,0.06,0.59,0.04,0.01,,,3.77
买入,BIDU250404P87000,BIDU 250404 87.00P,2.11,1,2.11,已撤单,0@0.0,2025/02/14 13:40:18 (美东),限价单,当日有效,,盘中,,,美股,USD,,,,,,,,,,,,,,,,,,,,,,,,0.0
买入,TSLL,2倍做多TSLA ETF-Direxion,19.29,61,1176.69,全部成交,64@19.95,2025/02/14 12:32:02 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,64,20.31,1299.84,2025/02/14 12:32:03 (美东),美股,USD,,,0.89,1.08,0.19,,,,,,,,,,,,2.16
买入,BIDU250404P87000,BIDU 250404 87.00P,2.86,1,2.86,全部成交,1@2.74,2025/02/14 11:54:20 (美东),限价单,当日有效,,盘中,,,美股,USD,,1,2.74,2.74,2025/02/14 12:03:01 (美东),美股,USD,,,1.8,0.33,,,,,,0.01,0.02,0.18,,,,,2.34
卖出,VIX250219C19000,VIX 250219 19.00C,0.15,19,2.85,全部成交,21@0.13,2025/02/14 11:53:39 (美东),限价单,当日有效,,盘中,,,美股,USD,,19,0.15,2.85,2025/02/14 12:43:38 (美东),美股,USD,,,13.46,6.47,,,,,,0.22,0.42,3.67,0.01,0.06,,,24.31
买入,TSLL,2倍做多TSLA ETF-Direxion,19.02,116,2206.32,全部成交,123@19.03,2025/02/14 11:39:25 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,126,18.34,2310.84,2025/02/14 11:39:31 (美东),美股,USD,,,1.06,0.99,0.33,,,,,,,,,,,,2.38
卖出,TCH250227P400000,腾讯 250227 400.00 沽,1.18,24,28.32,全部成交,25@1.1,2025/02/14 11:38:25 (香港),限价单,当日有效,,,,,港股,HKD,,6,1.12,6.72,2025/02/14 11:39:37 (香港),港股,HKD,,,6.29,13.91,,,,,,,,,,,80.3,,100.5
,,,,,,,,,,,,,,,,,,20,1.18,23.6,2025/02/14 11:39:37 (香港),港股,HKD,,,,,,,,,,,,,,,,,0.0
买入,BIDU250404P87000,BIDU 250404 87.00P,2.89,2,5.78,全部成交,2@2.62,2025/02/13 11:18:03 (美东),限价单,当日有效,,盘中,,,美股,USD,,2,2.62,5.24,2025/02/13 11:33:29 (美东),美股,USD,,,2.13,0.65,,,,,,0.02,0.04,0.38,,,,,3.22
买入,TSLA,特斯拉,331.26,12,3975.12,全部成交,11@339.59,2025/02/13 11:03:36 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,12,370.59,4447.08,2025/02/13 11:03:37 (美东),美股,USD,,,0.9,0.9,0.04,,,,,,,,,,,,1.84
买入,BIDU250919P70000,BIDU 250919 70.00P,2.31,2,4.62,已撤单,0@0.0,2025/02/13 11:01:44 (美东),限价单,当日有效,,盘中,,,美股,USD,,,,,,,,,,,,,,,,,,,,,,,,0.0
卖出,TSLA,特斯拉,338.5,14,4739.0,全部成交,15@347.78,2025/02/13 10:02:30 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,15,371.83,5577.45,2025/02/13 10:02:30 (美东),美股,USD,,,0.97,0.95,0.05,,,,,,,,0.16,0.01,,,2.14
卖出,TSLA250417C370000,TSLA 250417 370.00C,24.44,1,24.44,全部成交,1@23.06,2025/02/13 10:01:39 (美东),限价单,当日有效,,盘中,,,美股,USD,,1,24.44,24.44,2025/02/13 10:01:40 (美东),美股,USD,,,1.89,0.3,,,,,,0.01,0.02,0.19,0.07,0.01,,,2.49
买入,VIX250219C19000,VIX 250219 19.00C,0.26,18,4.68,全部成交,22@0.29,2025/02/13 09:43:11 (美东),限价单,当日有效,,盘中,,,美股,USD,,20,0.3,6.0,2025/02/13 09:43:12 (美东),美股,USD,,,13.56,5.77,,,,,,0.25,0.38,3.92,,,,,23.88
卖出,01810,小米集团-W,42.12,"1,600",,下单失败,0@0.0,2025/02/13 16:00:25 (香港),限价单,当日有效,允许,,,,港股,HKD,,,,,,,,,,,,,,,,,,,,,,,,0.0
买入,TCH250227P400000,腾讯 250227 400.00 沽,2.2,19,41.8,全部成交,20@2.29,2025/02/13 15:56:00 (香港),限价单,当日有效,,,,,港股,HKD,,21,2.19,45.99,2025/02/13 15:56:00 (香港),港股,HKD,,,7.84,16.27,,,,,,,,,,,59.96,,84.07
买入,TCH250227P400000,腾讯 250227 400.00 沽,1.82,4,7.28,全部成交,4@1.9,2025/02/13 15:51:12 (香港),限价单,当日有效,,,,,港股,HKD,,4,1.99,7.96,2025/02/13 15:51:13 (香港),港股,HKD,,,3.17,15.34,,,,,,,,,,,11.39,,29.9
买入,TCH250227P400000,腾讯 250227 400.00 沽,2.0,2,4.0,全部成交,2@2.0,2025/02/13 15:50:37 (香港),限价单,当日有效,,,,,港股,HKD,,2,1.97,3.94,2025/02/13 15:50:38 (香港),港股,HKD,,,3.09,16.38,,,,,,,,,,,5.98,,25.45
卖出,PLTR250228P100000,PLTR 250228 100.00P,1.1,2,2.2,全部成交,2@1.0,2025/02/12 13:40:20 (美东),限价单,当日有效,,盘中,,,美股,USD,,2,0.97,1.94,2025/02/12 13:40:23 (美东),美股,USD,,,2.0,0.55,,,,,,0.02,0.04,0.33,0.01,0.01,,,2.96
卖出,TSLA250314C380000,TSLA 250314 380.00C,9.97,3,29.91,全部成交,3@8.59,2025/02/12 13:36:32 (美东),限价单,当日有效,,盘中,,,美股,USD,,1,10.23,10.23,2025/02/12 13:37:02 (美东),美股,USD,,,1.8,0.88,,,,,,0.03,0.06,0.5,0.08,0.02,,,3.37
,,,,,,,,,,,,,,,,,,2,10.17,20.34,2025/02/12 13:37:02 (美东),美股,USD,,,,,,,,,,,,,,,,,0.0
卖出,TSLA250417C370000,TSLA 250417 370.00C,触及市价,1,,已撤单,0@0.0,2025/02/12 12:48:37 (美东),触及市价单(止盈),当日有效,,盘中,23.8,,美股,USD,,,,,,,,,,,,,,,,,,,,,,,,0.0
卖出,TSLA250314C380000,TSLA 250314 380.00C,市价,3,,下单失败,0@0.0,2025/02/12 12:48:06 (美东),触及市价单(止盈),当日有效,,盘中,9.0,,美股,USD,,,,,,,,,,,,,,,,,,,,,,,,0.0
卖出,PLTR250228P100000,PLTR 250228 100.00P,1.14,1,1.14,全部成交,1@1.27,2025/02/12 10:52:05 (美东),限价单,当日有效,,盘中,,,美股,USD,,1,1.23,1.23,2025/02/12 10:52:05 (美东),美股,USD,,,1.98,0.28,,,,,,0.01,0.02,0.16,0.01,0.01,,,2.47
买入,TSLA,特斯拉,311.97,15,4679.55,已撤单,0@0.0,2025/02/12 09:36:27 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,,,,,,,,,,,,,,,,,,,,,,,0.0
买入,TSLA250314C380000,TSLA 250314 380.00C,7.14,2,14.28,全部成交,2@7.01,2025/02/12 09:31:02 (美东),限价单,当日有效,,盘中,,,美股,USD,,1,6.69,6.69,2025/02/12 09:31:06 (美东),美股,USD,,,2.08,0.64,,,,,,0.02,0.04,0.33,,,,,3.11
,,,,,,,,,,,,,,,,,,1,7.2,7.2,2025/02/12 09:31:06 (美东),美股,USD,,,,,,,,,,,,,,,,,0.0
买入,TSLA250314C380000,TSLA 250314 380.00C,8.0,2,16.0,已撤单,0@0.0,2025/02/12 09:30:39 (美东),限价单,当日有效,,盘中,,,美股,USD,,,,,,,,,,,,,,,,,,,,,,,,0.0
买入,TSLA250314C380000,TSLA 250314 380.00C,7.35,1,7.35,已撤单,0@0.0,2025/02/12 09:30:21 (美东),限价单,当日有效,,盘中,,,美股,USD,,,,,,,,,,,,,,,,,,,,,,,,0.0
卖出,NVDL,2倍做多NVDA ETF-GraniteShares,55.26,22,1215.72,全部成交,19@57.79,2025/02/12 09:20:00 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,17,51.89,882.13,2025/02/12 09:21:43 (美东),美股,USD,,,0.95,1.05,0.06,,,,,,,,0.04,0.02,,,2.12
,,,,,,,,,,,,,,,,,,2,60.59,121.18,2025/02/12 09:20:07 (美东),美股,USD,,,,,,,,,,,,,,,,,0.0
卖出,NVDA,英伟达,134.48,5,672.4,全部成交,5@125.75,2025/02/12 09:19:46 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,5,125.57,627.85,2025/02/12 09:19:47 (美东),美股,USD,,,0.97,1.06,0.02,,,,,,,,0.02,0.01,,,2.08
卖出,AAPL,苹果,240.47,9,2164.23,全部成交,11@253.48,2025/02/12 09:19:31 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,9,228.87,2059.83,2025/02/12 09:19:31 (美东),美股,USD,,,1.05,1.09,0.03,,,,,,,,0.06,0.01,,,2.24
卖出,TCH250214P410000,腾讯 250214 410.00 沽,0.33,3,0.99,全部成交,3@0.28,2025/02/12 13:08:34 (香港),限价单,当日有效,,,,,港股,HKD,,3,0.31,0.93,2025/02/12 13:08:35 (香港),港股,HKD,,,3.16,14.23,,,,,,,,,,,8.59,,25.98
卖出,NVDL,2倍做多NVDA ETF-GraniteShares,60.48,23,1391.04,全部成交,27@59.2,2025/02/11 12:26:33 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,27,58.14,1569.78,2025/02/11 12:26:33 (美东),美股,USD,,,0.96,1.06,0.08,,,,,,,,0.04,0.01,,,2.15
卖出,NVDA,英伟达,128.18,5,640.9,全部成交,5@123.14,2025/02/11 12:26:10 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,5,135.65,678.25,2025/02/11 12:26:24 (美东),美股,USD,,,1.03,1.03,0.02,,,,,,,,0.02,0.01,,,2.11
买入,PLTR250228P100000,PLTR 250228 100.00P,1.51,3,4.53,全部成交,3@1.48,2025/02/11 12:23:19 (美东),限价单,当日有效,,盘中,,,美股,USD,,3,1.37,4.11,2025/02/11 12:23:20 (美东),美股,USD,,,1.99,0.88,,,,,,0.04,0.06,0.49,,,,,3.46
买入,TSLA,特斯拉,377.76,15,5666.4,全部成交,16@350.34,2025/02/11 09:41:54 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,16,340.75,5452.0,2025/02/11 09:41:54 (美东),美股,USD,,,1.02,0.94,0.05,,,,,,,,,,,,2.01
买入,TSLA250417C370000,TSLA 250417 370.00C,24.15,1,24.15,全部成交,1@24.65,2025/02/11 09:32:36 (美东),限价单,当日有效,,盘中,,,美股,USD,,1,25.42,25.42,2025/02/11 09:32:37 (美东),美股,USD,,,1.96,0.32,,,,,,0.01,0.02,0.16,,,,,2.47
